atomicNumber;symbol;name;atomicMass;atomicRadius;period;group;summary;category;metallicProperty;block;phase;boilingPoint;meltingPoint;electronicConfiguration;electronegativity;oxidationStates;ionizationEnergy;electronAffinity;density;discoveryYear;discoveredBy;displayRow;displayColumn
1;H;Hydrogen;1.008;0.79;1;1;;Non Metal;nonmetal;s;Gas;20.28;14.175;1s1;2.2;-1, 1;1312;-73;0.08988;1766;Henry Cavendish;1;1
2;He;Helium;4.0026022;0.49;1;18;;Noble Gas;nonmetal;s;Gas;4.22;-1;1s2;-1;0;2372;0;0.1786;1868;Pierre Janssen;1;18
3;Li;Lithium;6.94;2.1;2;1;;Alkali Metal;metal;s;Solid;1615;453.85;[He] 2s1;0.98;1;520;-60;0.534;1817;Johan August Arfwedson;2;1
4;Be;Beryllium;9.01218315;1.4;2;2;;Alkaline Earth Metal;metal;s;Solid;2742;1560.15;[He] 2s2;1.57;2;900;0;1.85;1798;Louis Nicolas Vauquelin;2;2
5;B;Boron;10.81;1.2;2;13;;Metalloid;metalloid;p;Solid;4200;2573.15;[He] 2s2 2p1;2.04;1, 2, 3;801;-27;2.08;1807;Joseph Louis Gay-Lussac;2;13
6;C;Carbon;12.011;0.91;2;14;;Non Metal;nonmetal;p;Solid;4300;3948.15;[He] 2s2 2p2;2.55;-4, -3, -2, -1, 1, 2, 3, 4;1087;-154;1.821;-1;Ancient Egypt;2;14
7;N;Nitrogen;14.007;0.75;2;15;;Non Metal;nonmetal;p;Gas;77.36;63.29;[He] 2s2 2p3;3.04;-3, -2, -1, 1, 2, 3, 4, 5;1402;-7;1.251;1772;Daniel Rutherford;2;15
8;O;Oxygen;15.999;0.65;2;16;;Non Metal;nonmetal;p;Gas;90.2;50.5;[He] 2s2 2p4;3.44;-2, -1, 1, 2;1314;-141;1.429;1774;Carl Wilhelm Scheele;2;16
9;F;Fluorine;18.9984031636;0.57;2;17;;Halogen;nonmetal;p;Gas;85.03;53.63;[He] 2s2 2p5;3.98;-1;1681;-328;1.696;1670;André-Marie Ampère;2;17
10;Ne;Neon;20.17976;0.51;2;18;;Noble Gas;nonmetal;p;Gas;27.07;24.703;[He] 2s2 2p6;-1;0;2081;0;0.9002;1898;Morris Travers;2;18
11;Na;Sodium;22.989769282;2.2;3;1;;Alkali Metal;metal;s;Solid;1156;371.15;[Ne] 3s1;0.93;-1, 1;496;-53;0.968;1807;Humphry Davy;3;1
12;Mg;Magnesium;24.305;1.7;3;2;;Alkaline Earth Metal;metal;s;Solid;1363;923.15;[Ne] 3s2;1.31;1, 2;738;0;1.738;1808;Joseph Black;3;2
13;Al;Aluminum;26.98153857;1.8;3;13;;Post-Transition Metal;metal;p;Solid;2792;933.4;[Ne] 3s2 3p1;1.61;1, 3;578;-43;2.7;-1;Wöhler;3;13
14;Si;Silicon;28.085;1.5;3;14;;Metalloid;metalloid;p;Solid;3538;1683.15;[Ne] 3s2 3p2;1.9;-4, -3, -2, -1, 1, 2, 3, 4;787;-134;2.329;1854;Jöns Jacob Berzelius;3;14
15;P;Phosphorus;30.9737619985;1.2;3;15;;Non Metal;nonmetal;p;Solid;553;317.25;[Ne] 3s2 3p3;2.19;-3, -2, -1, 1, 2, 3, 4, 5;1012;-72;1.823;1669;Hennig Brand;3;15
16;S;Sulfur;32.06;1.1;3;16;;Non Metal;nonmetal;p;Solid;717.8;388.51;[Ne] 3s2 3p4;2.58;-2, -1, 1, 2, 3, 4, 5, 6;1000;-200;2.07;-1;Ancient china;3;16
17;Cl;Chlorine;35.45;0.97;3;17;;Halogen;nonmetal;p;Gas;239.11;172.31;[Ne] 3s2 3p5;3.16;-1, 1, 2, 3, 4, 5, 6, 7;1251;-349;3.2;1774;Carl Wilhelm Scheele;3;17
18;Ar;Argon;39.9481;0.88;3;18;;Noble Gas;nonmetal;p;Gas;87.3;83.96;[Ne] 3s2 3p6;-1;0;1521;0;1.784;1894;Lord Rayleigh;3;18
19;K;Potassium;39.09831;2.8;4;1;;Alkali Metal;metal;s;Solid;1032;336.5;[Ar] 4s1;0.82;1;419;-48;0.862;1807;Humphry Davy;4;1
20;Ca;Calcium;40.0784;2.2;4;2;;Alkaline Earth Metal;metal;s;Solid;1757;1112.15;[Ar] 4s2;1;2;590;-2;1.55;-1;Humphry Davy;4;2
21;Sc;Scandium;44.9559085;2.1;4;3;;Transition Metal;metal;d;Solid;3109;1812.15;[Ar] 3d1 4s2;1.36;1, 2, 3;633;-18;2.985;1876;Lars Fredrik Nilson;4;3
22;Ti;Titanium;47.8671;2;4;4;;Transition Metal;metal;d;Solid;3560;1933.15;[Ar] 3d2 4s2;1.54;-1, 2, 3, 4;659;-8;4.506;1791;William Gregor;4;4
23;V;Vanadium;50.94151;1.9;4;5;;Transition Metal;metal;d;Solid;3680;2175.15;[Ar] 3d3 4s2;1.63;-1, 2, 3, 4;651;-51;6;1803;Andrés Manuel del Río;4;5
24;Cr;Chromium;51.99616;1.9;4;6;;Transition Metal;metal;d;Solid;2944;2130.15;[Ar] 3d5 4s1;1.66;-2, -1, 1, 2, 3, 4, 5, 6;653;-64;7.19;-1;Louis Nicolas Vauquelin;4;6
25;Mn;Manganese;54.9380443;1.8;4;7;;Transition Metal;metal;d;Solid;2334;1519.15;[Ar] 3d5 4s2;1.55;-3, -2, -1, 1, 2, 3, 4, 5, 6, 7;717;0;7.21;1774;Torbern Olof Bergman;4;7
